strain1,strain2,segments,gen,phys
MY23,JU1491,4,0.073517023,0.082679098
JU1212,JU1491,10,0.278919864,0.34176569
JU1213,JU1491,11,0.421645523,0.49530165
JU1242,JU1491,11,0.398586001,0.474383548
JU1409,JU1491,12,0.434977799,0.425457494
CB4852,JU1581,8,0.266244507,0.287360215
CX11292,JU1581,4,0.175260016,0.226056935
CX11262,JU1581,3,0.080572349,0.061982728
CX11315,JU1581,2,0.096553695,0.14245979
CX11271,JU1581,7,0.204967472,0.274436167
CX11276,JU1581,3,0.173980595,0.235622829
CX11285,JU1581,5,0.123037209,0.129555864
ED3005,JU1581,4,0.149289628,0.184688431
ED3012,JU1581,6,0.199449468,0.209496909
ED3017,JU1581,6,0.329810313,0.369664892
ED3048,JU1581,7,0.219756232,0.251677636
ED3052,JU1581,3,0.176064887,0.285233993
ED3073,JU1581,6,0.223655031,0.241684214
EG4347,JU1581,6,0.255244435,0.25456647
EG4349,JU1581,9,0.227573931,0.259964555
EG4946,JU1581,6,0.178518567,0.214030352
JT11398,JU1581,6,0.312999526,0.339344737
JU310,JU1581,4,0.327120155,0.387043343
MY23,JU1581,1,0.008052504,0.007372057
JU1212,JU1581,8,0.238259919,0.284157915
JU1213,JU1581,7,0.263328841,0.330551201
JU1242,JU1581,9,0.288546811,0.331331919
JU1409,JU1581,5,0.244785607,0.239897681
JU1491,JU1581,7,0.353834335,0.421513563
CB4852,JU1568,9,0.493875498,0.590047875
CX11292,JU1568,8,0.363064735,0.429422615
CX11262,JU1568,4,0.110684048,0.162346982
CX11315,JU1568,8,0.272480052,0.356448949
CX11271,JU1568,11,0.346877236,0.399384849
CX11276,JU1568,8,0.344395454,0.414395943
CX11285,JU1568,9,0.225694538,0.274209012
ED3005,JU1568,5,0.262227434,0.34002066
ED3012,JU1568,10,0.671419743,0.700861458
ED3017,JU1568,12,0.364490458,0.426030509
ED3048,JU1568,8,0.417857826,0.47365353
ED3052,JU1568,8,0.368609674,0.349205353
ED3073,JU1568,8,0.269440788,0.387242537
EG4347,JU1568,12,0.512084542,0.618553805
EG4349,JU1568,8,0.212915754,0.255105103
EG4946,JU1568,10,0.435296289,0.503225322
JT11398,JU1568,9,0.390036731,0.504663658
JU310,JU1568,10,0.33198498,0.414238222
MY23,JU1568,2,0.026117933,0.016325322
JU1212,JU1568,10,0.540216634,0.546404046
JU1213,JU1568,10,0.344138061,0.333848699
JU1242,JU1568,10,0.377048272,0.42905857
JU1409,JU1568,13,0.343239168,0.398678688
JU1491,JU1568,9,0.382403284,0.391627297
JU1581,JU1568,5,0.193742351,0.229423566
CB4852,JU311,7,0.387116501,0.448916992
CX11292,JU311,6,0.261306894,0.292834454
CX11262,JU311,3,0.076543527,0.070018954
CX11315,JU311,7,0.236122786,0.2661262
CX11271,JU311,9,0.24770293,0.269498664
CX11276,JU311,8,0.266888621,0.287091737
CX11285,JU311,7,0.177320003,0.18766709
ED3005,JU311,6,0.208405861,0.244186444
ED3012,JU311,7,0.492595848,0.502990428
ED3017,JU311,12,0.404161822,0.377870283
ED3048,JU311,4,0.311605858,0.333609141
ED3052,JU311,6,0.330004095,0.354968162
ED3073,JU311,9,0.229084613,0.29144494
EG4347,JU311,8,0.379181119,0.42608078
EG4349,JU311,7,0.188591885,0.171430595
EG4946,JU311,8,0.313174811,0.382673962
JT11398,JU311,8,0.358646583,0.396623918
JU310,JU311,11,0.31046843,0.337231847
MY23,JU311,2,0.026117933,0.016325322
JU1212,JU311,11,0.403364675,0.411266493
JU1213,JU311,11,0.361613819,0.353181909
JU1242,JU311,7,0.353635275,0.352147533
JU1409,JU311,10,0.306350474,0.313775964
JU1491,JU311,10,0.34184767,0.366740717
JU1581,JU311,6,0.23387887,0.248690419
JU1568,JU311,11,0.611889945,0.640311793
CB4852,JU323,8,0.441766154,0.472821983
CX11292,JU323,10,0.457518937,0.464608083
CX11262,JU323,8,0.204158244,0.228249394
CX11315,JU323,5,0.265098322,0.329516456
CX11271,JU323,11,0.328302312,0.373254634
CX11276,JU323,7,0.337572216,0.373835039
CX11285,JU323,11,0.268749647,0.299402356
ED3005,JU323,9,0.324446052,0.378783247
ED3012,JU323,6,0.333296207,0.375437287
ED3017,JU323,10,0.435087445,0.503044443
ED3048,JU323,12,0.52830849,0.5560568
ED3052,JU323,10,0.557144078,0.553431501
ED3073,JU323,13,0.406479155,0.464443781
EG4347,JU323,10,0.332939062,0.397255312
EG4349,JU323,10,0.244461534,0.279842919
EG4946,JU323,9,0.398700651,0.427648695
JT11398,JU323,5,0.257282223,0.365885064
JU310,JU323,10,0.468309403,0.571128241
MY23,JU323,3,0.072340095,0.092752969
JU1212,JU323,6,0.148934606,0.181230376
JU1213,JU323,8,0.298173162,0.366744192
JU1242,JU323,7,0.43132265,0.481850693
JU1409,JU323,8,0.323137353,0.365665318
JU1491,JU323,5,0.295820274,0.350324012
JU1581,JU323,6,0.270844958,0.360495887
JU1568,JU323,8,0.362175744,0.397211403
JU311,JU323,4,0.314391645,0.349158588
CB4852,JU346,10,0.260532464,0.285095056
CX11292,JU346,8,0.280359292,0.288312904
CX11262,JU346,5,0.122885281,0.109621517
CX11315,JU346,3,0.13995744,0.187324385
CX11271,JU346,9,0.300047312,0.329257425
CX11276,JU346,8,0.286870262,0.292354
CX11285,JU346,8,0.113440485,0.113747715
ED3005,JU346,5,0.197870613,0.215976753
ED3012,JU346,7,0.187325985,0.198128144
ED3017,JU346,10,0.30478471,0.328595953
ED3048,JU346,9,0.258255676,0.270232626
ED3052,JU346,6,0.237374386,0.30997862
ED3073,JU346,10,0.355488838,0.328142841
EG4347,JU346,10,0.335534704,0.323259673
EG4349,JU346,11,0.258225126,0.305948728
EG4946,JU346,10,0.275079535,0.27397205
JT11398,JU346,6,0.273440732,0.336757964
JU310,JU346,9,0.397173075,0.397937296
MY23,JU346,1,0.008052504,0.007372057
JU1212,JU346,6,0.126026286,0.218282086
JU1213,JU346,8,0.25020387,0.32727791
JU1242,JU346,9,0.27667306,0.321733179
JU1409,JU346,8,0.289946854,0.29482759
JU1491,JU346,8,0.249571364,0.345968312
JU1581,JU346,10,0.397573968,0.44555847
JU1568,JU346,10,0.212407321,0.217418893
JU311,JU346,6,0.177079639,0.213538814
JU323,JU346,8,0.300465789,0.336867512
CB4852,JU360,9,0.351743757,0.435249086
CX11292,JU360,11,0.400514461,0.465565556
CX11262,JU360,5,0.191792192,0.25152371
CX11315,JU360,7,0.278922504,0.405626653
CX11271,JU360,13,0.403859855,0.49634004
CX11276,JU360,8,0.410657426,0.483139745
CX11285,JU360,12,0.240204727,0.330706776
ED3005,JU360,11,0.32227856,0.391000835
ED3012,JU360,8,0.310944289,0.387105447
ED3017,JU360,12,0.331187134,0.444610544
ED3048,JU360,11,0.410149048,0.484457069
ED3052,JU360,6,0.215954141,0.264053894
ED3073,JU360,10,0.445772639,0.500561027
EG4347,JU360,12,0.410902634,0.464551901
EG4349,JU360,14,0.430076719,0.457236246
EG4946,JU360,11,0.384941419,0.441762873
JT11398,JU360,6,0.278811528,0.424209654
JU310,JU360,11,0.480691471,0.538227325
MY23,JU360,3,0.031604109,0.051384435
JU1212,JU360,5,0.110974984,0.143027802
JU1213,JU360,8,0.200146528,0.2290671
JU1242,JU360,8,0.31274132,0.383003136
JU1409,JU360,13,0.379819287,0.437239366
JU1491,JU360,8,0.212086208,0.303212572
JU1581,JU360,6,0.233699615,0.29721423
JU1568,JU360,7,0.2181124,0.325457944
JU311,JU360,7,0.208024408,0.236216356
JU323,JU360,8,0.260529731,0.352076003
JU346,JU360,9,0.35672412,0.357860132
CB4852,JU367,12,0.537769226,0.628658403
CX11292,JU367,10,0.45359738,0.50368156
CX11262,JU367,3,0.139450245,0.172900607
CX11315,JU367,7,0.29392326,0.374096227
CX11271,JU367,12,0.362060839,0.429221754
CX11276,JU367,10,0.351287235,0.415327481
CX11285,JU367,12,0.279345672,0.323197009
ED3005,JU367,10,0.332507403,0.401605659
ED3012,JU367,10,0.645149053,0.690304328
ED3017,JU367,11,0.430329628,0.489019741
ED3048,JU367,10,0.470068035,0.506158775
ED3052,JU367,9,0.365361128,0.359607119
ED3073,JU367,9,0.304848827,0.422426936
EG4347,JU367,14,0.500596537,0.625735586
EG4349,JU367,12,0.267140829,0.28710425
EG4946,JU367,12,0.483954962,0.5433006
JT11398,JU367,11,0.392410145,0.508503563
JU310,JU367,9,0.36125957,0.452996435
MY23,JU367,2,0.022568815,0.012571667
JU1212,JU367,12,0.45587111,0.472024599
JU1213,JU367,9,0.293576654,0.29515204
JU1242,JU367,9,0.279923293,0.349062741
JU1409,JU367,12,0.416136484,0.461957699
JU1491,JU367,8,0.328463107,0.34940283
JU1581,JU367,6,0.190239249,0.237862044
JU1568,JU367,12,0.706822867,0.74991865
JU311,JU367,12,0.508078517,0.559001287
JU323,JU367,12,0.411897187,0.437304336
JU346,JU367,9,0.214217998,0.267211236
JU360,JU367,8,0.255818429,0.363215106
CB4852,JU363,10,0.348827293,0.435340968
CX11292,JU363,12,0.375096915,0.458875213
CX11262,JU363,5,0.166375121,0.244833487
CX11315,JU363,7,0.278922504,0.405626653
CX11271,JU363,13,0.39306838,0.493907613
CX11276,JU363,9,0.38523988,0.476449403
CX11285,JU363,12,0.240204727,0.330706776
ED3005,JU363,11,0.311487084,0.388568408
ED3012,JU363,10,0.308027351,0.38719721
ED3017,JU363,13,0.347493083,0.4599518
ED3048,JU363,12,0.384731502,0.477766726
ED3052,JU363,6,0.215954141,0.264053894
ED3073,JU363,11,0.420355093,0.493870685
EG4347,JU363,13,0.385485088,0.457861559
EG4349,JU363,14,0.423903693,0.454935856
EG4946,JU363,13,0.382024481,0.441854636
JT11398,JU363,6,0.278811528,0.424209654
JU310,JU363,11,0.464528369,0.542505952
MY23,JU363,3,0.031604109,0.051384435
JU1212,JU363,6,0.133475593,0.149809907
JU1213,JU363,9,0.210279451,0.242107966
JU1242,JU363,8,0.287324248,0.376312913
JU1409,JU363,13,0.37364626,0.434938976
JU1491,JU363,8,0.212086208,0.303212572
JU1581,JU363,6,0.233699615,0.29721423
JU1568,JU363,9,0.251404009,0.334672356
JU311,JU363,8,0.196149156,0.241882869
JU323,JU363,8,0.260529731,0.352076003
JU346,JU363,10,0.356065567,0.368468571
JU360,JU363,6,0.897163876,0.951443154
JU367,JU363,10,0.312824777,0.389790843
CB4852,JU394,10,0.488964948,0.518726397
CX11292,JU394,6,0.285628018,0.311498142
CX11262,JU394,3,0.073099735,0.065280974
CX11315,JU394,5,0.203132108,0.246787228
CX11271,JU394,9,0.295515195,0.308109382
CX11276,JU394,7,0.307430371,0.318761281
CX11285,JU394,10,0.217659029,0.231265102
ED3005,JU394,5,0.209177882,0.2375187
ED3012,JU394,8,0.649573159,0.631309806
ED3017,JU394,6,0.309126244,0.330624669
ED3048,JU394,6,0.3528419,0.358061333
ED3052,JU394,8,0.423027139,0.407897265
ED3073,JU394,5,0.204753621,0.276794676
EG4347,JU394,10,0.458645489,0.537902026
EG4349,JU394,6,0.170096205,0.176133494
EG4946,JU394,9,0.389571126,0.409940681
JT11398,JU394,9,0.394690655,0.4522283
JU310,JU394,7,0.258189118,0.297252347
MY23,JU394,2,0.026117933,0.016325322
JU1212,JU394,9,0.625538762,0.654949006
JU1213,JU394,8,0.303752107,0.337340177
JU1242,JU394,8,0.307031411,0.314912747
JU1409,JU394,8,0.28625313,0.315132123
JU1491,JU394,11,0.40348651,0.425909108
JU1581,JU394,7,0.197655109,0.261248914
JU1568,JU394,9,0.71263345,0.712399678
JU311,JU394,9,0.496016808,0.578371297
JU323,JU394,5,0.305421153,0.29877162
JU346,JU394,6,0.154919642,0.229202762
JU360,JU394,6,0.161354495,0.219070742
JU367,JU394,10,0.593030714,0.615232671
JU363,JU394,7,0.183855103,0.225852848
CB4852,JU792,5,0.239618889,0.281581678
CX11292,JU792,5,0.195099899,0.247453434
CX11262,JU792,5,0.099384912,0.09897556
CX11315,JU792,5,0.163436718,0.20774317
CX11271,JU792,10,0.28015686,0.380364385
CX11276,JU792,6,0.247320706,0.322707618
CX11285,JU792,8,0.182652714,0.236714645
ED3005,JU792,6,0.177907275,0.207817378
ED3012,JU792,4,0.23147658,0.266264798
ED3017,JU792,8,0.340166141,0.396221006
ED3048,JU792,6,0.298577097,0.326676225
ED3052,JU792,6,0.294315594,0.389448907
ED3073,JU792,7,0.250238339,0.26915522
EG4347,JU792,7,0.255669279,0.294198642
EG4349,JU792,9,0.240652928,0.265594438
EG4946,JU792,5,0.194515526,0.23295442
JT11398,JU792,6,0.300701802,0.376268035
JU310,JU792,6,0.309342161,0.428962024
MY23,JU792,4,0.063928331,0.084923146
JU1212,JU792,10,0.235155955,0.298960798
JU1213,JU792,11,0.442363269,0.527631408
JU1242,JU792,8,0.786787245,0.803892215
JU1409,JU792,10,0.283477182,0.333908346
JU1491,JU792,10,0.422714151,0.55796113
JU1581,JU792,7,0.377945472,0.440436183
JU1568,JU792,10,0.364530673,0.397698188
JU311,JU792,7,0.362138716,0.387933868
JU323,JU792,6,0.420089806,0.479488668
JU346,JU792,9,0.3446677,0.436172835
JU360,JU792,8,0.18786909,0.253132928
JU367,JU792,5,0.234231259,0.281854889
JU363,JU792,8,0.18786909,0.253132928
JU394,JU792,6,0.277808722,0.350292766
CB4852,JU397,4,0.247026248,0.287909203
CX11292,JU397,5,0.19241319,0.244783916
CX11262,JU397,5,0.099384912,0.09897556
CX11315,JU397,5,0.168162162,0.208554535
CX11271,JU397,10,0.26927991,0.372802791
CX11276,JU397,7,0.248704308,0.314734015
CX11285,JU397,8,0.175398526,0.227744844
ED3005,JU397,4,0.138357111,0.188357852
ED3012,JU397,5,0.341671679,0.324896483
ED3017,JU397,10,0.359575288,0.399782837
ED3048,JU397,6,0.284118194,0.322531952
ED3052,JU397,8,0.30310823,0.391445539
ED3073,JU397,8,0.247250239,0.266858505
EG4347,JU397,6,0.283845713,0.301909739
EG4349,JU397,9,0.221864949,0.276738584
EG4946,JU397,6,0.197692783,0.23216844
JT11398,JU397,7,0.336624189,0.383121192
JU310,JU397,8,0.303254091,0.388749128
MY23,JU397,3,0.064480177,0.087108526
JU1212,JU397,12,0.337081076,0.370228221
JU1213,JU397,11,0.384700786,0.457081061
JU1242,JU397,9,0.633469882,0.660629279
JU1409,JU397,10,0.284044004,0.326615359
JU1491,JU397,12,0.429647857,0.548933129
JU1581,JU397,8,0.393323695,0.458251558
JU1568,JU397,11,0.510219935,0.500862519
JU311,JU397,11,0.501503635,0.473817473
JU323,JU397,8,0.396524623,0.431176094
JU346,JU397,9,0.33993943,0.427202514
JU360,JU397,6,0.171488435,0.245937286
JU367,JU397,8,0.359431609,0.384335628
JU363,JU397,6,0.171488435,0.245937286
JU394,JU397,10,0.398553538,0.436876469
JU792,JU397,9,0.774219522,0.812681017
CB4852,JU561,13,0.599145504,0.635119204
CX11292,JU561,11,0.442068519,0.458852255
